樊阿,华佗,学生,unknown,unknown
皇甫坚寿,皇甫嵩,儿子,unknown,unknown
皇甫节,皇甫嵩,父亲,unknown,unknown
射援,皇甫嵩,女婿,unknown,unknown
皇甫规,皇甫嵩,叔父,unknown,unknown
皇甫谧,皇甫嵩,曾孙子,unknown,unknown
皇甫规妻,皇甫嵩,婶母,unknown,unknown
皇甫郦,皇甫嵩,从子,unknown,unknown
黄柄,黄盖,儿子,unknown,吴
黄香,黄盖,曾祖父,unknown,吴
黄琼,黄琬,祖父,unknown,unknown
来艳,黄琬,岳父,unknown,unknown
来忠,黄琬,侄子,unknown,unknown
黄香,黄琬,曾祖父,unknown,unknown
来敏,黄琬,小舅子,unknown,unknown
申屠蟠,黄琬,好友,unknown,unknown
黄叙,黄忠,儿子,unknown,蜀
贾充,贾逵,儿子,unknown,魏
贾混,贾逵,儿子,unknown,魏
贾习,贾逵,祖父,unknown,魏
贾黎民,贾逵,孙子,unknown,魏
贾褒,贾逵,孙女,unknown,魏
贾午,贾逵,孙女,unknown,魏
贾南风,贾逵,孙女,unknown,魏
郭槐,贾逵,儿媳,unknown,魏
李婉,贾逵,儿媳,unknown,魏
郭配,贾逵,亲家公,unknown,魏
王凌,贾逵,好友,魏,魏
贾穆,贾诩,儿子,unknown,魏
贾玑,贾诩,儿子,unknown,魏
贾龚,贾诩,父亲,unknown,魏
贾模,贾诩,孙子,unknown,魏
贾延,贾诩,孙子,unknown,魏
贾疋,贾诩,曾孙子,unknown,魏
贾胤,贾诩,曾孙子,unknown,魏
刘备,简雍,好友,蜀,蜀
姜冏,姜维,父亲,unknown,蜀
钟会,姜维,好友,魏,蜀
诸葛亮,姜维,老师,蜀,蜀
蒋壹,蒋钦,儿子,unknown,吴
蒋休,蒋钦,儿子,unknown,吴
何晏,金乡公主,丈夫,unknown,unknown
曹操,金乡公主,父亲,魏,unknown
杜夫人,金乡公主,母亲,unknown,unknown
秦朗,金乡公主,哥哥,魏,unknown
曹林,金乡公主,哥哥,unknown,unknown
曹节,金乡公主,姐姐,unknown,unknown
清河公主,金乡公主,姐姐,unknown,unknown
曹嵩,金乡公主,祖父,unknown,unknown
丁氏,金乡公主,祖母,unknown,unknown
曹德,金乡公主,叔父,unknown,unknown
曹蕤,金乡公主,侄子,unknown,unknown
曹范,金乡公主,侄子,unknown,unknown
曹奂,金乡公主,侄子,unknown,unknown
曹竦,金乡公主,侄子,unknown,unknown
秦秀,金乡公主,侄子,unknown,unknown
曹壹,金乡公主,侄子,unknown,unknown
曹协,金乡公主,侄子,unknown,unknown
曹喈,金乡公主,侄子,unknown,unknown
曹邕,金乡公主,侄子,unknown,unknown
曹霖,金乡公主,侄子,unknown,unknown
曹炳,金乡公主,侄子,unknown,unknown
曹贡,金乡公主,侄子,unknown,unknown
曹礼,金乡公主,侄子,unknown,unknown
刘禅,敬哀皇后,丈夫,蜀,unknown
张飞,敬哀皇后,父亲,蜀,unknown
夏侯夫人,敬哀皇后,母亲,unknown,unknown
张皇后,敬哀皇后,妹妹,unknown,unknown
刘备,敬哀皇后,公公,蜀,unknown
甘夫人,敬哀皇后,婆婆,unknown,unknown
张遵,敬哀皇后,侄子,unknown,unknown
张凯武,敬哀皇后,侄子,unknown,unknown
刘永,敬哀皇后,小叔子,unknown,unknown
刘理,敬哀皇后,小叔子,unknown,unknown
孙和,阚泽,学生,unknown,unknown
孔宙,孔融,父亲,unknown,群雄
孔褒,孔融,哥哥,unknown,群雄
羊衜,孔融,女婿,unknown,群雄
羊续,孔融,亲家公,unknown,群雄
祢衡,孔融,好友,unknown,群雄
太史慈,孔融,好友,吴,群雄
蔡邕,孔融,好友,unknown,群雄
脂习,孔融,好友,unknown,群雄
盛宪,孔融,好友,unknown,群雄
陈纪,孔融,好友,群雄,群雄
陈群,孔融,好友,魏,群雄
蒯钧,蒯良,儿子,unknown,群雄
蒯祺,蒯良,侄子,unknown,群雄
蒯祺,蒯越,侄子,unknown,魏
乐綝,乐进,儿子,unknown,魏
乐肇,乐进,孙子,unknown,魏
李式,李傕,儿子,unknown,群雄
李暹,李傕,侄子,unknown,群雄
李利,李傕,侄子,unknown,群雄
胡封,李傕,外甥,unknown,群雄
李桓,李傕,堂弟,unknown,群雄
李应,李傕,堂弟,unknown,群雄
郭汜,李傕,好友,群雄,群雄
李赐,李密,儿子,unknown,unknown
李兴,李密,儿子,unknown,unknown
谯周,李密,老师,unknown,unknown
李朝,李邈,哥哥,unknown,unknown
李邵,李邈,弟弟,unknown,unknown
李遗,李球,堂兄,unknown,unknown
李休,李胜,父亲,unknown,unknown
夏侯玄,李胜,好友,unknown,unknown
李矩,李式,父亲,unknown,unknown
李重,李式,父亲,unknown,unknown
李秉,李式,祖父,unknown,unknown
李尚,李式,叔父,unknown,unknown
李绪,李式,曾祖父,unknown,unknown
李充,李式,堂弟,unknown,unknown
李丰,李严,儿子,unknown,蜀
费观,李严,好友,unknown,蜀
李伟,李义,儿子,unknown,unknown
李丰,李义,儿子,unknown,unknown
陈燕琳,李彧,妻子,unknown,unknown
李保田,李彧,父亲,unknown,unknown
李伯清,李彧,老师,unknown,unknown
凌封,凌统,儿子,unknown,吴
凌烈,凌统,儿子,unknown,吴
凌操,凌统,父亲,吴,吴
糜夫人,刘备,妻子,unknown,蜀
孙夫人,刘备,妻子,unknown,蜀
甘夫人,刘备,妻子,unknown,蜀
穆皇后,刘备,妻子,unknown,蜀
刘理,刘备,儿子,unknown,蜀
刘永,刘备,儿子,unknown,蜀
刘禅,刘备,儿子,蜀,蜀
刘弘,刘备,父亲,unknown,蜀
刘封,刘备,养子,unknown,蜀
吴氏,刘备,母亲,unknown,蜀
刘雄,刘备,祖父,unknown,蜀
孙坚,刘备,岳父,unknown,蜀
刘瓒,刘备,孙子,unknown,蜀
刘胤,刘备,孙子,unknown,蜀
刘晨,刘备,孙子,unknown,蜀
刘林,刘备,孙子,unknown,蜀
刘辑,刘备,孙子,unknown,蜀
刘璩,刘备,孙子,unknown,蜀
刘瑶,刘备,孙子,unknown,蜀
刘恂,刘备,孙子,unknown,蜀
刘谌,刘备,孙子,unknown,蜀
刘璿,刘备,孙子,unknown,蜀
刘琮,刘备,孙子,unknown,蜀
张皇后,刘备,儿媳,unknown,蜀
敬哀皇后,刘备,儿媳,unknown,蜀
马氏,刘备,儿媳,unknown,蜀
刘子敬,刘备,叔父,unknown,蜀
刘元起,刘备,叔父,unknown,蜀
孙登,刘备,侄子,unknown,蜀
孙奋,刘备,侄子,unknown,蜀
孙和,刘备,侄子,unknown,蜀
孙鲁班,刘备,侄女,unknown,蜀
刘玄,刘备,曾孙子,unknown,蜀
刘承,刘备,曾孙子,unknown,蜀
刘乾清,刘备,曾孙子,unknown,蜀
诸葛尚,刘备,曾外孙子,unknown,蜀
赵云,刘备,义弟,蜀,蜀
吴懿,刘备,大舅子,unknown,蜀
孙权,刘备,大舅子,吴,蜀
麋竺,刘备,大舅子,unknown,蜀
孙策,刘备,大舅子,吴,蜀
刘璋,刘备,堂弟,群雄,蜀
马超,刘备,亲家公,蜀,蜀
张飞,刘备,亲家公,蜀,蜀
夏侯夫人,刘备,亲家母,unknown,蜀
简雍,刘备,好友,蜀,蜀
诸葛亮,刘备,好友,蜀,蜀
吴巨,刘备,好友,unknown,蜀
关羽,刘备,好友,蜀,蜀
卢植,刘备,老师,unknown,蜀
张皇后,刘禅,妻子,unknown,蜀
王贵人,刘禅,妻子,unknown,蜀
敬哀皇后,刘禅,妻子,unknown,蜀
李昭仪,刘禅,妻子,unknown,蜀
刘瑶,刘禅,儿子,unknown,蜀
刘恂,刘禅,儿子,unknown,蜀
刘谌,刘禅,儿子,unknown,蜀
刘瓒,刘禅,儿子,unknown,蜀
刘璩,刘禅,儿子,unknown,蜀
刘璿,刘禅,儿子,unknown,蜀
刘琮,刘禅,儿子,unknown,蜀
